+1.75657e+10ns POS: x=210, y=95.6672, z=0; VEL:0, y=50, z=0
+1.77657e+10ns POS: x=210, y=105.667, z=0; VEL:0, y=0, z=0
+1.77657e+10ns POS: x=210, y=105.667, z=0; VEL:0, y=50.0004, z=0
+1.78523e+10ns POS: x=210, y=110, z=0; VEL:0, y=0, z=0
+1.78523e+10ns POS: x=210, y=110, z=0; VEL:-50.0004, y=0, z=0
+1.78978e+10ns POS: x=210, y=90, z=0; VEL:0, y=0, z=0
+1.78978e+10ns POS: x=210, y=90, z=0; VEL:0, y=-50, z=0
+1.83915e+10ns POS: x=210, y=65.3142, z=0; VEL:0, y=0, z=0
+1.83915e+10ns POS: x=210, y=65.3142, z=0; VEL:0, y=-50, z=0
+1.84915e+10ns POS: x=210, y=60.3142, z=0; VEL:0, y=0, z=0
+1.84915e+10ns POS: x=210, y=60.3142, z=0; VEL:0, y=-50, z=0
+1.86978e+10ns POS: x=210, y=50, z=0; VEL:0, y=0, z=0
+1.86978e+10ns POS: x=210, y=50, z=0; VEL:-50, y=0, z=0
+1.88915e+10ns POS: x=200.314, y=50, z=0; VEL:0, y=0, z=0
+1.88915e+10ns POS: x=200.314, y=50, z=0; VEL:-50.0003, y=0, z=0
+1.90523e+10ns POS: x=150, y=110, z=0; VEL:0, y=0, z=0
+1.90523e+10ns POS: x=150, y=110, z=0; VEL:0, y=50.0004, z=0
+1.92915e+10ns POS: x=180.314, y=50, z=0; VEL:0, y=0, z=0
+1.92915e+10ns POS: x=180.314, y=50, z=0; VEL:-50, y=0, z=0
+1.94523e+10ns POS: x=150, y=130, z=0; VEL:0, y=0, z=0
+1.94523e+10ns POS: x=150, y=130, z=0; VEL:50.0004, y=0, z=0
+1.94978e+10ns POS: x=170, y=50, z=0; VEL:0, y=0, z=0
+1.94978e+10ns POS: x=170, y=50, z=0; VEL:0, y=-50, z=0
+1.98523e+10ns POS: x=170, y=130, z=0; VEL:0, y=0, z=0
+1.98523e+10ns POS: x=170, y=130, z=0; VEL:0, y=50.0004, z=0
+2.02523e+10ns POS: x=170, y=150, z=0; VEL:0, y=0, z=0
+2.02523e+10ns POS: x=170, y=150, z=0; VEL:50.0004, y=0, z=0
+2.02915e+10ns POS: x=170, y=10.3142, z=0; VEL:0, y=0, z=0
+2.02915e+10ns POS: x=170, y=10.3142, z=0; VEL:0, y=-50.0262, z=0
+2.02978e+10ns POS: x=170, y=10, z=0; VEL:0, y=0, z=0
+2.02978e+10ns POS: x=170, y=10, z=0; VEL:50.0262, y=0, z=0
+2.03656e+10ns POS: x=175.667, y=150, z=0; VEL:0, y=0, z=0
+2.03656e+10ns POS: x=175.667, y=150, z=0; VEL:50.0959, y=0, z=0
+2.05914e+10ns POS: x=184.686, y=10, z=0; VEL:0, y=0, z=0
+2.05914e+10ns POS: x=184.686, y=10, z=0; VEL:50, y=0, z=0
+2.06518e+10ns POS: x=190, y=150, z=0; VEL:0, y=0, z=0
+2.06518e+10ns POS: x=190, y=150, z=0; VEL:0, y=50.0959, z=0
+2.06976e+10ns POS: x=190, y=10, z=0; VEL:0, y=0, z=0
+2.06976e+10ns POS: x=190, y=10, z=0; VEL:0, y=50, z=0
+2.10976e+10ns POS: x=190, y=30, z=0; VEL:0, y=0, z=0
+2.10976e+10ns POS: x=190, y=30, z=0; VEL:50, y=0, z=0
+2.13637e+10ns POS: x=190, y=185.667, z=0; VEL:0, y=0, z=0
+2.13637e+10ns POS: x=190, y=185.667, z=0; VEL:0, y=50, z=0
+2.14504e+10ns POS: x=190, y=190, z=0; VEL:0, y=0, z=0
+2.14504e+10ns POS: x=190, y=190, z=0; VEL:50, y=0, z=0
+2.14637e+10ns POS: x=190.667, y=190, z=0; VEL:0, y=0, z=0
+2.14637e+10ns POS: x=190.667, y=190, z=0; VEL:50.1461, y=0, z=0
+2.14976e+10ns POS: x=210, y=30, z=0; VEL:0, y=0, z=0
+2.14976e+10ns POS: x=210, y=30, z=0; VEL:0, y=50, z=0
+2.18493e+10ns POS: x=210, y=190, z=0; VEL:0, y=0, z=0
+2.18493e+10ns POS: x=210, y=190, z=0; VEL:0, y=50.1461, z=0
+2.21914e+10ns POS: x=210, y=64.6858, z=0; VEL:0, y=0, z=0
+2.21914e+10ns POS: x=210, y=64.6858, z=0; VEL:0, y=50.0527, z=0
+2.22481e+10ns POS: x=210, y=210, z=0; VEL:0, y=0, z=0
+2.22481e+10ns POS: x=210, y=210, z=0; VEL:-50.1461, y=0, z=0
+2.22614e+10ns POS: x=209.333, y=210, z=0; VEL:0, y=0, z=0
+2.22614e+10ns POS: x=209.333, y=210, z=0; VEL:-50, y=0, z=0
+2.26614e+10ns POS: x=189.333, y=210, z=0; VEL:0, y=0, z=0
+2.26614e+10ns POS: x=189.333, y=210, z=0; VEL:-50.2765, y=0, z=0
+2.26971e+10ns POS: x=210, y=90, z=0; VEL:0, y=0, z=0
+2.26971e+10ns POS: x=210, y=90, z=0; VEL:-50.0527, y=0, z=0
+2.31587e+10ns POS: x=164.333, y=210, z=0; VEL:0, y=0, z=0
+2.31587e+10ns POS: x=164.333, y=210, z=0; VEL:-50.1351, y=0, z=0
+2.32902e+10ns POS: x=180.314, y=90, z=0; VEL:0, y=0, z=0
+2.32902e+10ns POS: x=180.314, y=90, z=0; VEL:-50.0395, y=0, z=0
+2.35576e+10ns POS: x=144.333, y=210, z=0; VEL:0, y=0, z=0
+2.35576e+10ns POS: x=144.333, y=210, z=0; VEL:-50, y=0, z=0
+2.36576e+10ns POS: x=139.333, y=210, z=0; VEL:0, y=0, z=0
+2.36576e+10ns POS: x=139.333, y=210, z=0; VEL:-50.1776, y=0, z=0
+2.38436e+10ns POS: x=130, y=210, z=0; VEL:0, y=0, z=0
+2.38436e+10ns POS: x=130, y=210, z=0; VEL:0, y=-50.1776, z=0
+2.3896e+10ns POS: x=150, y=90, z=0; VEL:0, y=0, z=0
+2.3896e+10ns POS: x=150, y=90, z=0; VEL:0, y=-50.0395, z=0
+2.41558e+10ns POS: x=130, y=194.333, z=0; VEL:0, y=0, z=0
+2.41558e+10ns POS: x=130, y=194.333, z=0; VEL:0, y=-50.0508, z=0
+2.42557e+10ns POS: x=130, y=189.333, z=0; VEL:0, y=0, z=0
+2.42557e+10ns POS: x=130, y=189.333, z=0; VEL:0, y=-50, z=0
+2.45557e+10ns POS: x=130, y=174.333, z=0; VEL:0, y=0, z=0
+2.45557e+10ns POS: x=130, y=174.333, z=0; VEL:0, y=-50.0057, z=0
+2.45892e+10ns POS: x=150, y=55.3142, z=0; VEL:0, y=0, z=0
+2.45892e+10ns POS: x=150, y=55.3142, z=0; VEL:0, y=-50.0885, z=0
+2.46423e+10ns POS: x=130, y=170, z=0; VEL:0, y=0, z=0
+2.46423e+10ns POS: x=130, y=170, z=0; VEL:50.0057, y=0, z=0
+2.48557e+10ns POS: x=140.667, y=170, z=0; VEL:0, y=0, z=0
+2.48557e+10ns POS: x=140.667, y=170, z=0; VEL:50, y=0, z=0
+2.50423e+10ns POS: x=150, y=170, z=0; VEL:0, y=0, z=0
+2.50423e+10ns POS: x=150, y=170, z=0; VEL:0, y=50, z=0
+2.50557e+10ns POS: x=150, y=170.667, z=0; VEL:0, y=0, z=0
+2.50557e+10ns POS: x=150, y=170.667, z=0; VEL:0, y=50.0824, z=0
+2.50883e+10ns POS: x=150, y=30.3142, z=0; VEL:0, y=0, z=0
+2.50883e+10ns POS: x=150, y=30.3142, z=0; VEL:0, y=-50.1638, z=0
+2.50945e+10ns POS: x=150, y=30, z=0; VEL:0, y=0, z=0
+2.50945e+10ns POS: x=150, y=30, z=0; VEL:50.1638, y=0, z=0
+2.54417e+10ns POS: x=150, y=190, z=0; VEL:0, y=0, z=0
+2.54417e+10ns POS: x=150, y=190, z=0; VEL:50.0824, y=0, z=0
